order_id,user_id,product_id,category,old_name,price,base_price,amount,status,region,priority,city,transaction_date
100019,3004.0,44788,Books,Product_420,4513.23,4296.02,4296.02,Cancelled,East,High,Patna,2025-07-14
100020,8297.0,44853,Sports,Product_289,1697.46,1562.72,4688.16,Cancelled,North,High,Lucknow,2025-12-20
100021,,96534,Sports,Product_376,1611.13,1752.17,1752.17,Pending,West,Medium,Ahmedabad,2025-10-01
100022,4618.0,88340,Electronics,Product_238,4774.36,4990.86,14972.58,Cancelled,North,Low,Lucknow,2025-10-25
100023,5670.0,32022,Sports,Product_184,3643.27,3676.24,3676.24,Shipped,North,High,Dehradun,2025-11-07
100024,9703.0,35435,Home,Product_256,3331.05,3401.47,10204.41,Shipped,North,High,Lucknow,2025-05-25
100025,9531.0,18883,Beauty,Product_481,2537.03,2269.29,6807.87,Shipped,North,Medium,Delhi,2025-08-18
100026,3520.0,74647,Clothing,Product_100,3485.18,2893.04,11572.16,Pending,North,High,Delhi,2025-01-20
100027,6274.0,81686,Electronics,Product_22,584.42,459.86,459.86,Pending,South,Low,Chennai,2025-08-12
100028,1425.0,57386,Clothing,Product_239,1611.21,1590.5,4771.5,Pending,East,Medium,Patna,2025-04-24
100029,5698.0,28248,Sports,Product_375,3005.88,2846.38,11385.52,Completed,West,High,Jaipur,2025-03-04
100030,6943.0,37967,Sports,Product_480,2542.98,2803.82,14019.1,Completed,West,High,Ahmedabad,2025-09-18
100031,3945.0,64891,Clothing,Product_449,4493.73,3707.07,7414.14,Shipped,North,High,Dehradun,2025-01-03
100032,4290.0,96678,Sports,Product_31,1617.47,1722.02,3444.04,Completed,South,High,Bengaluru,2025-02-28
100033,4380.0,41344,Clothing,Product_402,694.89,758.22,3032.88,Shipped,West,Medium,Mumbai,2025-12-10
100034,4750.0,17979,Electronics,Product_282,3465.70,3408.86,13635.44,Completed,South,High,Bengaluru,2025-05-08
100035,9898.0,44506,Sports,Product_500,867.83,713.06,3565.3,Cancelled,East,Medium,Patna,2025-11-17
100036,1053.0,55946,Books,Product_389,5016.53,4396.37,13189.11,Completed,South,Low,Kochi,2025-05-31
100037,9749.0,36047,Sports,Product_326,4148.31,3626.13,14504.52,Completed,North,High,Lucknow,2025-04-16
100038,3676.0,60762,Electronics,Product_134,3964.41,3912.3,19561.5,Completed,East,Low,Guwahati,2025-12-11
100039,2986.0,19645,Home,Product_30,1778.20,1891.05,9455.25,Cancelled,South,Medium,Chennai,2025-03-08
100040,9764.0,25853,Home,Product_147,556.76,554.55,2772.75,Cancelled,East,Medium,Guwahati,2025-05-01
100041,6878.0,98354,Clothing,Product_420,4832.10,4210.15,16840.6,Pending,North,Medium,Delhi,2025-01-01
100042,2373.0,32891,Books,Product_137,1150.50,1275.91,5103.64,Shipped,West,High,Pune,2025-07-19
100043,1877.0,93638,Beauty,Product_279,4156.88,4381.17,21905.85,Pending,East,Medium,Kolkata,2025-06-09
100044,9150.0,15893,Sports,Product_34,3439.49,3361.35,6722.7,Pending,East,High,Kolkata,2025-12-08
100045,7565.0,84625,Beauty,Product_419,4160.90,4497.82,22489.1,Shipped,North,Low,Chandigarh,2025-10-01
100046,9764.0,50823,Beauty,Product_16,5888.29,4729.69,4729.69,Pending,East,Low,Kolkata,2025-01-19
100047,8741.0,90643,Sports,Product_171,4503.14,4893.1,19572.4,Pending,South,Low,Bengaluru,2025-12-03
100048,3227.0,96681,Books,Product_155,3130.33,3324.57,3324.57,Cancelled,West,Low,Jaipur,2025-08-04
100049,2501.0,10311,Books,Product_310,2057.99,2113.77,10568.85,Pending,East,Low,Bhubaneswar,2025-11-02
100050,7089.0,48831,Sports,Product_192,4553.96,4560.73,22803.65,Cancelled,North,Low,Lucknow,2025-10-16
100051,7102.0,65230,Beauty,Product_91,975.40,928.99,4644.95,Completed,East,Low,Patna,2025-11-13
100052,2629.0,73977,Books,Product_388,3756.46,2911.71,14558.55,Pending,North,Low,Chandigarh,2025-09-26
100053,5381.0,54281,Beauty,Product_247,1878.40,1644.99,6579.96,Pending,West,High,Ahmedabad,2025-02-22
100054,3740.0,99844,Beauty,Product_205,1748.28,1908.17,3816.34,Pending,North,Low,Chandigarh,2025-05-08
100055,9272.0,93684,Sports,Product_116,2300.93,2550.65,5101.3,Completed,South,Medium,Kochi,2025-08-30
100056,6362.0,68118,Sports,Product_8,355.48,331.68,1326.72,Completed,West,High,Ahmedabad,2025-06-30
100057,8800.0,87148,Beauty,Product_175,5041.86,3913.73,19568.65,Pending,East,High,Bhubaneswar,2025-04-05
100058,1233.0,55637,Beauty,Product_476,1277.92,1091.43,4365.72,Pending,South,Medium,Kochi,2025-07-02
100059,9472.0,11317,Books,Product_249,2186.79,1795.37,1795.37,Shipped,East,Medium,Kolkata,2025-12-27
100060,7794.0,74002,Electronics,Product_203,3906.17,4012.99,8025.98,Completed,West,Medium,Mumbai,2025-09-18
100061,4113.0,20800,Electronics,Product_217,992.18,1060.19,1060.19,Shipped,West,Low,Mumbai,2025-08-12
100062,7432.0,59338,Beauty,Product_171,1998.52,2131.6,6394.8,Cancelled,West,Medium,Mumbai,2025-02-02
100063,4352.0,47618,Home,Product_360,747.27,693.36,3466.8,Cancelled,East,High,Patna,2025-06-13
100064,3551.0,37261,Home,Product_124,1453.17,1209.32,1209.32,Shipped,West,Low,Ahmedabad,2025-04-24
100065,8322.0,70718,Home,Product_224,1163.68,1064.74,3194.22,Cancelled,East,High,Patna,2025-11-30
100066,7271.0,84216,Books,Product_314,6209.48,4918.06,24590.3,Pending,West,High,Jaipur,2025-01-30
100067,4851.0,48085,Clothing,Product_466,4279.09,3970.73,19853.65,Pending,South,Low,Kochi,2025-08-02
100068,6640.0,87058,Clothing,Product_72,2915.46,2783.79,5567.58,Cancelled,North,Medium,Lucknow,2025-03-21
100069,1805.0,50513,Clothing,Product_313,1404.13,1414.31,2828.62,Shipped,South,High,Kochi,2025-04-03
100070,4987.0,15411,Home,Product_111,3846.13,3150.98,9452.94,Completed,South,High,Hyderabad,2025-08-25
100071,4883.0,95781,Electronics,Product_213,632.05,563.07,563.07,Pending,West,High,Pune,2025-12-11
100072,1369.0,90672,Sports,Product_160,2195.01,2307.77,6923.31,Shipped,East,Medium,Patna,2025-11-04
100073,4233.0,30821,Books,Product_87,1063.55,1042.96,4171.84,Pending,South,Medium,Chennai,2025-03-02
100074,7638.0,40317,Books,Product_327,3750.96,3177.93,12711.72,Pending,North,Low,Dehradun,2025-08-10
100075,4347.0,34921,Electronics,Product_339,1357.44,1332.35,2664.7,Completed,North,Medium,Dehradun,2025-09-20
100076,9921.0,50648,Electronics,Product_390,486.43,447.92,2239.6,Shipped,East,Low,Guwahati,2025-01-13
100077,2906.0,74888,Sports,Product_180,1870.06,1737.29,6949.16,Cancelled,South,High,Hyderabad,2025-04-29
100078,,55449,Home,Product_427,1566.53,1410.25,1410.25,Shipped,East,Medium,Bhubaneswar,2025-07-18
100079,8423.0,28827,Beauty,Product_281,1481.02,1277.34,3832.02,Pending,South,Low,Chennai,2025-08-08
100080,7479.0,80068,Beauty,Product_222,1153.12,888.83,2666.49,Completed,East,Low,Guwahati,2025-04-29
100081,6248.0,10490,Beauty,Product_239,3374.25,3402.05,17010.25,Cancelled,West,Medium,Pune,2025-12-09
100082,3986.0,97782,Beauty,Product_468,202.08,211.98,635.94,Pending,North,High,Chandigarh,2025-09-29
100083,7253.0,83830,Sports,Product_133,3951.97,3257.23,16286.15,Cancelled,South,High,Chennai,2025-02-08
100084,3751.0,64715,Home,Product_482,5102.60,4998.28,4998.28,Shipped,South,Low,Kochi,2025-09-04
100085,9480.0,74792,Electronics,Product_466,1380.97,1271.94,5087.76,Cancelled,North,High,Delhi,2025-04-09
100086,8868.0,80454,Beauty,Product_255,3218.38,3474.18,17370.9,Cancelled,South,Low,Bengaluru,2025-04-09
100087,4153.0,14575,Beauty,Product_347,4694.35,4048.44,20242.2,Pending,East,Low,Guwahati,2025-06-03
100088,5051.0,30005,Electronics,Product_487,1680.00,1505.99,6023.96,Cancelled,East,Low,Guwahati,2025-04-30
100089,1686.0,94951,Books,Product_201,3877.98,3123.02,3123.02,Cancelled,East,Low,Kolkata,2025-02-24
100090,5029.0,68039,Books,Product_321,5322.08,4135.32,12405.96,Cancelled,South,High,Chennai,2025-10-29
100091,8955.0,58379,Books,Product_300,5236.87,4620.47,13861.41,Cancelled,East,High,Bhubaneswar,2025-08-23
100092,6908.0,61560,Beauty,Product_253,3126.34,3264.39,13057.56,Pending,West,High,Mumbai,2025-06-18
100093,5055.0,67070,Clothing,Product_471,3184.15,3287.84,16439.2,Shipped,North,Medium,Chandigarh,2025-04-08
100094,3621.0,42357,Electronics,Product_442,4290.19,3719.9,18599.5,Shipped,North,Medium,Delhi,2025-06-22
100095,6095.0,95006,Sports,Product_488,2630.49,2046.82,2046.82,Pending,South,Low,Kochi,2025-08-05
100096,1612.0,34262,Sports,Product_328,1342.17,1204.74,6023.7,Cancelled,South,Medium,Hyderabad,2025-02-26
100097,3682.0,22505,Clothing,Product_172,242.39,190.3,190.3,Pending,North,Medium,Lucknow,2025-05-04
100098,6399.0,82438,Clothing,Product_355,2073.68,2267.56,11337.8,Pending,South,Low,Chennai,2025-09-12
100099,6751.0,96645,Electronics,Product_74,625.90,663.33,663.33,Shipped,West,Low,Pune,2025-10-01
100100,5354.0,91794,Home,Product_49,1317.99,1320.5,1320.5,Pending,South,High,Chennai,2025-01-03
100101,6108.0,11849,Electronics,Product_360,5920.01,4595.39,4595.39,Cancelled,East,High,Bhubaneswar,2025-12-10
100102,4429.0,82837,Sports,Product_249,1966.12,1901.91,7607.64,Completed,West,High,Pune,2025-01-29
100103,9673.0,11374,Books,Product_372,4765.10,4511.12,22555.6,Pending,North,Medium,Delhi,2025-03-20
100104,2031.0,68573,Electronics,Product_444,3567.99,3152.92,9458.76,Completed,South,Medium,Chennai,2025-09-14
100105,3069.0,70894,Beauty,Product_71,2518.85,2113.86,8455.44,Cancelled,North,Low,Dehradun,2025-10-15
100106,3772.0,36011,Clothing,Product_402,3993.64,3200.27,16001.35,Shipped,East,Medium,Guwahati,2025-02-06
100107,7377.0,50563,Home,Product_275,4385.80,4389.18,17556.72,Cancelled,North,Low,Lucknow,2025-10-09
100108,3273.0,97966,Sports,Product_371,2141.90,2252.36,9009.44,Completed,North,Medium,Delhi,2025-03-13
100109,6535.0,27943,Home,Product_475,752.82,585.8,2929.0,Shipped,South,Medium,Bengaluru,2025-02-10
100110,1571.0,44331,Clothing,Product_151,4701.23,4446.31,17785.24,Shipped,South,Low,Bengaluru,2025-10-05
100111,5924.0,27227,Home,Product_95,443.52,449.29,898.58,Cancelled,South,High,Kochi,2025-07-26
100112,1127.0,48005,Books,Product_317,2560.48,2148.26,8593.04,Completed,East,Low,Patna,2025-04-24
100113,1915.0,40943,Sports,Product_116,955.42,938.09,2814.27,Completed,West,High,Jaipur,2025-07-06
100114,8532.0,32064,Electronics,Product_417,4693.06,4388.83,21944.15,Pending,East,High,Patna,2025-03-16
100115,9628.0,77082,Home,Product_94,365.16,390.13,1560.52,Shipped,South,Medium,Bengaluru,2025-02-18
100116,9257.0,85542,Electronics,Product_275,1317.11,1141.36,5706.8,Pending,North,High,Dehradun,2025-04-13
100117,9143.0,80405,Sports,Product_369,2703.08,2547.74,5095.48,Cancelled,East,High,Patna,2025-02-27
100118,1376.0,36633,Home,Product_256,4431.26,3539.21,7078.42,Shipped,South,High,Kochi,2025-12-28
100119,7169.0,55328,Electronics,Product_335,1473.92,1186.82,1186.82,Pending,West,High,Jaipur,2025-01-23
100120,1083.0,50895,Books,Product_134,1011.51,949.81,1899.62,Shipped,South,Low,Chennai,2025-02-11
100121,6086.0,71284,Sports,Product_199,3578.76,3367.45,16837.25,Pending,North,Low,Dehradun,2025-04-03
100122,1086.0,63295,Clothing,Product_311,3545.95,3392.56,3392.56,Completed,North,High,Lucknow,2025-06-08
100123,9996.0,15169,Home,Product_148,2965.76,2898.15,5796.3,Cancelled,East,Medium,Bhubaneswar,2025-01-16
100124,9864.0,38494,Electronics,Product_273,1729.50,1851.51,5554.53,Shipped,North,Low,Delhi,2025-01-23
100125,3955.0,83178,Clothing,Product_458,1447.61,1399.54,5598.16,Pending,South,Low,Hyderabad,2025-08-23
100126,1857.0,54317,Home,Product_267,247.08,194.74,778.96,Completed,West,High,Pune,2025-09-04
100127,1767.0,25185,Beauty,Product_345,3669.96,3500.45,17502.25,Pending,South,Medium,Hyderabad,2025-05-11
100128,9853.0,83569,Books,Product_116,5460.90,4575.44,9150.88,Cancelled,South,Low,Hyderabad,2025-09-10
100129,2659.0,59681,Books,Product_72,4238.73,3523.02,14092.08,Cancelled,East,Medium,Guwahati,2025-02-05
100130,6918.0,18961,Beauty,Product_407,657.63,677.27,2709.08,Pending,East,Medium,Bhubaneswar,2025-02-09
100131,8207.0,32820,Books,Product_466,5628.37,4825.26,19301.04,Pending,West,High,Mumbai,2025-04-20
100132,2947.0,42197,Home,Product_19,384.32,326.88,1634.4,Pending,South,Medium,Chennai,2025-07-15
100133,3026.0,45737,Books,Product_445,1602.89,1676.93,3353.86,Completed,East,Low,Patna,2025-10-02
100134,8194.0,78719,Sports,Product_233,3208.18,2800.05,8400.15,Completed,North,High,Delhi,2025-04-27
100135,2345.0,48796,Books,Product_28,198.22,187.76,375.52,Shipped,North,Medium,Chandigarh,2025-10-04
100136,4842.0,24534,Books,Product_470,1523.92,1626.61,6506.44,Shipped,West,Medium,Jaipur,2025-09-14
100137,7254.0,20845,Sports,Product_266,1621.92,1701.31,1701.31,Cancelled,South,Low,Kochi,2025-07-10
100138,1500.0,34149,Sports,Product_209,5210.26,4096.34,20481.7,Shipped,East,Low,Guwahati,2025-08-19
100139,4697.0,85774,Sports,Product_173,4037.44,3850.19,19250.95,Shipped,East,High,Bhubaneswar,2025-05-22
100140,6592.0,85357,Beauty,Product_476,1016.29,1092.32,2184.64,Shipped,East,Low,Patna,2025-01-20
100141,6042.0,22234,Sports,Product_265,2372.03,2296.28,2296.28,Pending,West,Medium,Pune,2025-04-05
100142,2162.0,57162,Home,Product_265,3133.45,3327.64,6655.28,Pending,East,Low,Patna,2025-11-11
100143,5254.0,28393,Sports,Product_140,1590.17,1614.34,1614.34,Completed,West,High,Jaipur,2025-03-04
100144,2063.0,51980,Sports,Product_61,3740.31,4060.42,8120.84,Cancelled,South,High,Kochi,2025-01-06
100145,6834.0,85781,Home,Product_216,2256.73,1779.48,5338.44,Shipped,South,Medium,Chennai,2025-09-23
100146,5147.0,65189,Clothing,Product_174,4001.22,3928.25,7856.5,Cancelled,North,Medium,Delhi,2025-03-09
100147,5174.0,82861,Books,Product_432,3197.78,3123.73,12494.92,Cancelled,South,Medium,Chennai,2025-07-07
100148,8473.0,15745,Clothing,Product_330,4796.22,3733.12,3733.12,Completed,South,High,Bengaluru,2025-03-06
100149,9270.0,15347,Electronics,Product_309,3477.64,3607.02,7214.04,Pending,South,High,Chennai,2025-12-10
100150,1587.0,19724,Sports,Product_327,3408.60,3447.18,6894.36,Cancelled,North,High,Lucknow,2025-12-27
100151,1289.0,93846,Books,Product_467,4356.33,4162.15,20810.75,Cancelled,North,Low,Lucknow,2025-10-02
100152,6366.0,99999,Sports,Product_375,295.55,270.93,1354.65,Completed,West,Medium,Ahmedabad,2025-07-06
100153,1340.0,32837,Sports,Product_5,1440.07,1375.56,2751.12,Shipped,South,Low,Kochi,2025-11-30
100154,6997.0,90624,Sports,Product_274,2599.56,2161.58,10807.9,Cancelled,West,Medium,Pune,2025-07-10
100155,3603.0,87943,Books,Product_16,3072.86,2771.09,11084.36,Pending,East,Low,Bhubaneswar,2025-06-13
100156,2689.0,44328,Books,Product_500,4644.25,3574.8,3574.8,Pending,North,Low,Lucknow,2025-05-24
100157,6803.0,28977,Sports,Product_377,3142.05,2429.02,12145.1,Completed,East,High,Kolkata,2025-11-09
100158,3202.0,85151,Clothing,Product_130,3456.40,2686.87,8060.61,Shipped,West,High,Mumbai,2025-12-22
100159,2815.0,86538,Sports,Product_307,4768.98,4378.4,13135.2,Pending,East,Low,Kolkata,2025-06-16
100160,7712.0,40019,Home,Product_341,565.06,443.68,2218.4,Pending,South,High,Hyderabad,2025-07-10
100161,2403.0,27498,Sports,Product_358,3929.51,3047.31,9141.93,Completed,East,Medium,Bhubaneswar,2025-03-15
100162,7148.0,19651,Electronics,Product_98,457.12,486.8,973.6,Cancelled,North,Medium,Lucknow,2025-07-26
100163,9095.0,38893,Sports,Product_431,2134.41,1968.61,9843.05,Cancelled,North,Medium,Chandigarh,2025-09-02
100164,8677.0,78061,Sports,Product_154,2424.86,2454.75,9819.0,Completed,North,Medium,Lucknow,2025-09-29
100165,5276.0,14853,Electronics,Product_13,4561.24,4047.43,12142.29,Completed,East,Medium,Guwahati,2025-05-06
100166,4330.0,70678,Beauty,Product_45,1035.63,816.96,816.96,Shipped,South,Medium,Bengaluru,2025-02-26
100167,1569.0,54304,Beauty,Product_88,2190.68,2259.77,2259.77,Completed,North,Medium,Dehradun,2025-03-01
100168,6487.0,61862,Sports,Product_314,495.65,451.05,451.05,Shipped,South,High,Hyderabad,2025-02-12
100169,1684.0,65425,Sports,Product_355,4817.98,4209.74,12629.22,Shipped,East,High,Kolkata,2025-08-11
100170,4027.0,70329,Home,Product_198,2138.21,2064.17,4128.34,Cancelled,East,Medium,Bhubaneswar,2025-01-30
100171,9350.0,31232,Clothing,Product_60,3850.63,3386.77,10160.31,Shipped,West,High,Ahmedabad,2025-03-12
100172,9137.0,46499,Clothing,Product_462,2777.74,2444.48,9777.92,Shipped,South,Medium,Chennai,2025-08-31
100173,9618.0,88063,Clothing,Product_26,3843.51,3123.53,15617.65,Pending,North,High,Dehradun,2025-04-28
100174,9840.0,80527,Sports,Product_369,4321.28,3667.39,3667.39,Cancelled,West,High,Mumbai,2025-12-08
100175,7758.0,43610,Beauty,Product_142,3769.17,3618.77,10856.31,Cancelled,East,High,Kolkata,2025-09-12
100176,2807.0,65796,Sports,Product_360,5019.47,4261.11,8522.22,Cancelled,North,High,Dehradun,2025-11-27
100177,1224.0,85851,Beauty,Product_7,3842.86,3236.95,16184.75,Pending,South,Low,Chennai,2025-08-07
100178,9961.0,52511,Sports,Product_365,261.59,242.91,728.73,Pending,West,Medium,Ahmedabad,2025-12-15
100179,6259.0,79535,Electronics,Product_32,1817.28,1426.35,1426.35,Shipped,South,Medium,Chennai,2025-11-07
100180,7558.0,45253,Books,Product_96,3646.13,3153.2,12612.8,Cancelled,North,High,Delhi,2025-06-14
100181,1194.0,66171,Clothing,Product_442,4719.55,4062.99,8125.98,Cancelled,East,High,Kolkata,2025-02-02
100182,9468.0,90614,Sports,Product_373,1091.36,1142.54,2285.08,Completed,West,Low,Ahmedabad,2025-10-18
100183,4622.0,99180,Sports,Product_369,2837.36,2203.27,8813.08,Pending,East,High,Kolkata,2025-05-24
100184,6335.0,93554,Home,Product_339,3818.53,3925.04,19625.2,Pending,West,Low,Ahmedabad,2025-05-13
100185,2555.0,13608,Beauty,Product_482,4713.57,4342.59,8685.18,Cancelled,South,Low,Bengaluru,2025-06-20
100186,9038.0,30709,Electronics,Product_264,929.60,1012.3,2024.6,Pending,West,High,Pune,2025-04-26
100187,9376.0,95108,Home,Product_26,1437.40,1251.69,1251.69,Completed,South,High,Hyderabad,2025-09-03
100188,4683.0,68779,Sports,Product_247,5966.39,4960.55,14881.65,Pending,North,Low,Dehradun,2025-12-17
100189,1729.0,43102,Beauty,Product_263,2580.41,2461.91,12309.55,Completed,North,Medium,Delhi,2025-04-04
100190,7720.0,87622,Beauty,Product_151,2787.90,2942.14,5884.28,Cancelled,South,High,Chennai,2025-03-03
100191,3732.0,27164,Books,Product_484,730.94,581.09,1743.27,Completed,East,Low,Guwahati,2025-12-10
100192,3139.0,28808,Books,Product_204,3989.60,3721.93,3721.93,Shipped,East,High,Guwahati,2025-08-26
100193,5348.0,18946,Clothing,Product_259,384.79,389.54,1558.16,Pending,North,High,Lucknow,2025-10-30
100194,4659.0,51986,Beauty,Product_122,3172.49,2863.23,11452.92,Shipped,West,Low,Pune,2025-06-02
100195,1857.0,68654,Beauty,Product_481,943.53,961.12,1922.24,Pending,South,Low,Bengaluru,2025-02-18
100196,2004.0,16311,Electronics,Product_39,3048.01,3118.3,15591.5,Cancelled,West,Medium,Pune,2025-09-12
100197,9933.0,51325,Clothing,Product_482,4438.33,3714.87,7429.74,Pending,South,Medium,Chennai,2025-07-27
100198,9255.0,81985,Books,Product_424,4658.54,3730.31,3730.31,Pending,East,Medium,Bhubaneswar,2025-06-02
100199,4464.0,50912,Beauty,Product_154,2548.68,2042.7,2042.7,Cancelled,East,Medium,Patna,2025-12-01
100200,2784.0,59947,Books,Product_189,3167.07,3461.5,3461.5,Completed,West,Low,Mumbai,2025-03-12
100201,4654.0,86135,Home,Product_225,1800.95,1733.95,5201.85,Completed,North,Low,Chandigarh,2025-08-23
100202,3557.0,98485,Home,Product_181,1462.79,1139.59,4558.36,Completed,West,Low,Jaipur,2025-12-13
100203,7614.0,34216,Clothing,Product_243,2465.51,2157.45,6472.35,Shipped,West,Low,Ahmedabad,2025-12-12
100204,6214.0,70222,Home,Product_423,1701.57,1593.68,6374.72,Shipped,North,High,Delhi,2025-09-22
100205,7574.0,72573,Home,Product_211,205.00,221.67,665.01,Cancelled,South,Medium,Chennai,2025-07-24
100206,8339.0,83430,Electronics,Product_17,3861.19,3058.17,15290.85,Pending,East,Medium,Kolkata,2025-10-03
100207,7100.0,69291,Electronics,Product_407,631.00,532.57,2662.85,Shipped,West,Medium,Ahmedabad,2025-05-19
100208,1776.0,76883,Beauty,Product_191,5169.29,4942.43,9884.86,Completed,North,Medium,Delhi,2025-02-05
100209,3051.0,68586,Home,Product_341,673.09,555.62,2222.48,Shipped,West,High,Pune,2025-06-05
100210,9479.0,32152,Beauty,Product_324,2952.07,2522.12,2522.12,Completed,West,High,Ahmedabad,2025-04-23
100211,8248.0,52154,Electronics,Product_220,1587.30,1603.75,6415.0,Pending,East,Medium,Kolkata,2025-11-25
100212,7264.0,12821,Books,Product_357,4214.30,4368.5,21842.5,Pending,South,High,Chennai,2025-05-13
100213,6021.0,81102,Home,Product_279,897.59,718.77,1437.54,Cancelled,North,High,Delhi,2025-12-06
100214,1612.0,70998,Books,Product_159,4358.40,4401.96,8803.92,Completed,South,Low,Hyderabad,2025-12-19
100215,1323.0,18952,Electronics,Product_340,1682.96,1328.76,5315.04,Cancelled,North,Medium,Dehradun,2025-02-11
100216,9122.0,25678,Home,Product_138,5717.25,4981.18,4981.18,Completed,South,Medium,Kochi,2025-01-10
100217,,96524,Clothing,Product_363,5243.96,4121.32,16485.28,Completed,West,Medium,Jaipur,2025-05-25
100218,3386.0,61510,Beauty,Product_170,1681.08,1689.83,5069.49,Pending,South,High,Hyderabad,2025-02-06
100219,2602.0,62305,Electronics,Product_211,4136.10,3669.85,3669.85,Pending,North,Low,Lucknow,2025-07-18
100220,7182.0,12026,Clothing,Product_123,789.27,659.35,659.35,Cancelled,North,Medium,Lucknow,2025-11-28
100221,4651.0,79183,Sports,Product_359,5764.30,4859.76,24298.8,Shipped,East,Medium,Bhubaneswar,2025-07-12
100222,2657.0,86231,Home,Product_357,145.47,137.84,137.84,Cancelled,West,Low,Jaipur,2025-10-26
100223,6294.0,55701,Clothing,Product_127,3253.25,3435.58,6871.16,Shipped,North,Medium,Delhi,2025-02-17
100224,9014.0,32227,Clothing,Product_91,2768.74,2132.41,10662.05,Completed,West,High,Pune,2025-12-08
100225,2471.0,35138,Books,Product_296,3347.40,3143.73,15718.65,Shipped,South,Low,Kochi,2025-05-18
100226,8620.0,51765,Clothing,Product_65,2088.29,1899.01,3798.02,Completed,West,Medium,Mumbai,2025-05-31
100227,2100.0,35893,Home,Product_456,1623.26,1496.99,1496.99,Pending,West,Low,Ahmedabad,2025-07-04
100228,3317.0,16887,Home,Product_491,753.75,837.07,2511.21,Shipped,West,Medium,Ahmedabad,2025-08-27
100229,3068.0,28101,Electronics,Product_185,4694.24,4996.94,14990.82,Cancelled,East,Medium,Guwahati,2025-04-02
100230,4284.0,58459,Home,Product_75,2061.42,2008.14,4016.28,Pending,South,High,Bengaluru,2025-09-15
100231,8345.0,21486,Books,Product_398,5204.49,4941.92,19767.68,Shipped,North,Medium,Chandigarh,2025-01-31
100232,5206.0,86745,Books,Product_103,2761.42,2824.59,8473.77,Shipped,West,Medium,Mumbai,2025-02-07
100233,6277.0,60012,Home,Product_370,1285.57,1104.78,3314.34,Cancelled,South,High,Kochi,2025-10-04
100234,3957.0,50521,Electronics,Product_146,460.50,452.77,1358.31,Shipped,East,Low,Guwahati,2025-12-14
100235,4702.0,34228,Beauty,Product_466,4311.11,3891.64,3891.64,Completed,South,High,Hyderabad,2025-07-13
100236,3820.0,54789,Beauty,Product_62,1194.33,920.62,3682.48,Shipped,South,Medium,Kochi,2025-02-20
100237,5186.0,73682,Clothing,Product_242,4129.30,4065.45,20327.25,Cancelled,West,High,Mumbai,2025-10-05
100238,3819.0,39798,Home,Product_294,1469.14,1620.73,8103.65,Cancelled,North,Low,Delhi,2025-10-24
100239,9288.0,68847,Beauty,Product_441,3240.89,2863.8,11455.2,Cancelled,West,High,Mumbai,2025-10-29
100240,4096.0,88109,Electronics,Product_98,3069.81,2838.28,11353.12,Shipped,West,High,Mumbai,2025-01-18
100241,5132.0,37679,Sports,Product_301,2155.49,1924.62,5773.86,Shipped,East,Low,Bhubaneswar,2025-12-14
100242,2162.0,88116,Sports,Product_385,991.95,815.12,3260.48,Cancelled,North,Medium,Chandigarh,2025-05-01
