product_id,product_name,category,subcategory,cost_price
94,Football,Sports,Indoor,2140.24
95,Chair,Home,Kitchen,29603.95
96,Mixer,Home,Kitchen,26794.28
97,Dress,Clothing,Kids,4030.37
98,Perfume,Beauty,Skin Care,1260.01
99,Yoga Mat,Sports,Indoor,8134.79
100,Body Lotion,Beauty,Skin Care,2050.98
101,Sofa,Home,Decor,24788.51
102,Tablet,Electronics,Laptop,68170.84
103,Machine Learning,Books,Fiction,1452.77
104,Football,Sports,Fitness,3389.18
105,Dress,Clothing,Women,2738.82
106,AI Basics,Books,Programming,484.23
107,Microwave,Home,Kitchen,5474.76
108,Shampoo,Beauty,Skin Care,3065.18
109,Perfume,Beauty,Skin Care,3878.01
110,Machine Learning,Books,Fiction,797.25
111,Lamp,Home,Decor,7723.9
112,Lamp,Home,Kitchen,5163.37
113,Basketball,Sports,Outdoor,3469.53
114,Mixer,Home,Kitchen,12262.14
115,AI Basics,Books,Programming,729.43
116,T-Shirt,Clothing,Men,3192.27
117,Kurta,Clothing,Men,1769.76
118,Sweater,Clothing,Women,2637.64
119,Speaker,Electronics,Audio,35613.06
120,Speaker,Electronics,Accessories,67415.8
121,Python Guide,Books,Programming,1118.51
122,Football,Sports,Outdoor,2349.23
123,Perfume,Beauty,Hair Care,2794.3
124,Body Lotion,Beauty,Cosmetics,2030.13
125,SQL Handbook,Books,Education,800.11
126,Keyboard,Electronics,Mobile,52173.6
127,Sweater,Clothing,Kids,1797.09
128,Tennis Racket,Sports,Fitness,5319.49
129,Lipstick,Beauty,Cosmetics,4097.17
130,Java Programming,Books,Education,530.75
131,  Mixer   ,Home,Decor,14500.41
132,Microwave,Home,Decor,14673.24
133,Body Lotion,Beauty,Cosmetics,4126.14
134,Sweater,Clothing,Men,389.01
135,SQL Handbook,Books,Business,802.55
136,Perfume,Beauty,Hair Care,2848.35
137,Microwave,Home,Kitchen,14060.07
138,Body Lotion,Beauty,Hair Care,3632.53
139,Lamp,Home,Decor,7772.31
140,Shampoo,Beauty,Hair Care,3878.75
141,Mixer,Home,Furniture,10789.69
142,Lamp,Home,Kitchen,11700.98
143,Cricket Bat,Sports,Outdoor,7284.34
144,Java Programming,Books,Business,382.9
145,Body Lotion,Beauty,Hair Care,3116.82
146,Shampoo,Beauty,Skin Care,1205.79
147,T-Shirt,Clothing,Men,772.56
148,Sweater,Clothing,Men,3368.6
149,Tennis Racket,Sports,Outdoor,3551.09
150,Chair,Home,Furniture,22291.25
151,Camera,Electronics,Laptop,92003.66
152,Cricket Bat,Sports,Outdoor,9297.38
153,Monitor,Electronics,Mobile,98307.89
154,Java Programming,Books,Business,1413.98
155,Face Wash,Beauty,Hair Care,896.22
156,yoGa Mat,Sports,Fitness,3615.3
157,Football,Sports,Fitness,3574.22
158,Jacket,Clothing,Men,1554.87
159,MAchinE LeaRnIng,Books,Education,314.46
160,Lamp,Home,Decor,14389.43
161,Shampoo,Beauty,Cosmetics,3019.49
162,Speaker,Electronics,Camera,91765.85
163,Mouse,Electronics,Mobile,33147.7
164,Perfume,Beauty,Hair Care,2495.26
165,Perfume,Beauty,Hair Care,2338.31
166,Speaker,Electronics,Camera,2666.16
167,Java Programming,Books,Programming,693.18
168,Microwave,Home,Furniture,2536.06
169,Yoga Mat,Sports,Indoor,7775.36
170,Sofa,Home,Decor,13731.85
171,Football,Sports,Outdoor,5623.35
172,Chair,Home,Kitchen,16100.85
173,Chair,Home,Furniture,14158.62
174,Sofa,Home,Decor,7801.61
175,AI Basics,Books,Fiction,1171.69
176,Laptop,Electronics,Audio,59597.44
177,TennIs rACkET,Sports,Fitness,3546.32
178,Java Programming,Books,Fiction,485.22
179,Shampoo,Beauty,Cosmetics,2528.54
180,Machine Learning,Books,Business,308.9
181,Dumbbells,Sports,Indoor,3357.0
182,Sofa,Home,Furniture,29049.69
183,Shampoo,Beauty,Cosmetics,1718.29
184,Tablet,Electronics,Audio,19452.92
185,jAVA pRoGraMMING,Books,Business,1085.28
186,Dumbbells,Sports,Indoor,4929.38
187,Lamp,Home,Kitchen,15169.68
188,Tablet,Electronics,Audio,41686.05
189,  Shampoo   ,Beauty,Skin Care,2811.23
190,Lipstick,Beauty,Cosmetics,1227.09
191,Lipstick,Beauty,Skin Care,1754.06
192,Tennis Racket,Sports,Fitness,7461.34
193,SQL Handbook,Books,Fiction,1383.66
194,Perfume,Beauty,Cosmetics,464.22
195,Chair,Home,Furniture,7327.29
196,Chair,Home,Furniture,2283.28
197,Microwave,Home,Decor,964.09
198,  Lipstick   ,Beauty,Cosmetics,2694.15
199,Python Guide,Books,Education,702.8
200,T-Shirt,Clothing,Men,3212.97
